number_of_turn,last_move_played_by,current_player_turn,wQ_moves,wS1_moves,wB1_moves,wG1_moves,wA1_moves,wS2_moves,wB2_moves,wG2_moves,wA2_moves,wG3_moves,wA3_moves,bQ_moves,bS1_moves,bB1_moves,bG1_moves,bA1_moves,bS2_moves,bB2_moves,bG2_moves,bA2_moves,bG3_moves,bA3_moves,wQ_RIGHT_neighbor,wQ_UP_RIGHT_neighbor,wQ_UP_LEFT_neighbor,wQ_LEFT_neighbor,wQ_DOWN_LEFT_neighbor,wQ_DOWN_RIGHT_neighbor,wQ_BELOW_neighbor,wQ_ABOVE_neighbor,wS1_RIGHT_neighbor,wS1_UP_RIGHT_neighbor,wS1_UP_LEFT_neighbor,wS1_LEFT_neighbor,wS1_DOWN_LEFT_neighbor,wS1_DOWN_RIGHT_neighbor,wS1_BELOW_neighbor,wS1_ABOVE_neighbor,wB1_RIGHT_neighbor,wB1_UP_RIGHT_neighbor,wB1_UP_LEFT_neighbor,wB1_LEFT_neighbor,wB1_DOWN_LEFT_neighbor,wB1_DOWN_RIGHT_neighbor,wB1_BELOW_neighbor,wB1_ABOVE_neighbor,wG1_RIGHT_neighbor,wG1_UP_RIGHT_neighbor,wG1_UP_LEFT_neighbor,wG1_LEFT_neighbor,wG1_DOWN_LEFT_neighbor,wG1_DOWN_RIGHT_neighbor,wG1_BELOW_neighbor,wG1_ABOVE_neighbor,wA1_RIGHT_neighbor,wA1_UP_RIGHT_neighbor,wA1_UP_LEFT_neighbor,wA1_LEFT_neighbor,wA1_DOWN_LEFT_neighbor,wA1_DOWN_RIGHT_neighbor,wA1_BELOW_neighbor,wA1_ABOVE_neighbor,wS2_RIGHT_neighbor,wS2_UP_RIGHT_neighbor,wS2_UP_LEFT_neighbor,wS2_LEFT_neighbor,wS2_DOWN_LEFT_neighbor,wS2_DOWN_RIGHT_neighbor,wS2_BELOW_neighbor,wS2_ABOVE_neighbor,wB2_RIGHT_neighbor,wB2_UP_RIGHT_neighbor,wB2_UP_LEFT_neighbor,wB2_LEFT_neighbor,wB2_DOWN_LEFT_neighbor,wB2_DOWN_RIGHT_neighbor,wB2_BELOW_neighbor,wB2_ABOVE_neighbor,wG2_RIGHT_neighbor,wG2_UP_RIGHT_neighbor,wG2_UP_LEFT_neighbor,wG2_LEFT_neighbor,wG2_DOWN_LEFT_neighbor,wG2_DOWN_RIGHT_neighbor,wG2_BELOW_neighbor,wG2_ABOVE_neighbor,wA2_RIGHT_neighbor,wA2_UP_RIGHT_neighbor,wA2_UP_LEFT_neighbor,wA2_LEFT_neighbor,wA2_DOWN_LEFT_neighbor,wA2_DOWN_RIGHT_neighbor,wA2_BELOW_neighbor,wA2_ABOVE_neighbor,wG3_RIGHT_neighbor,wG3_UP_RIGHT_neighbor,wG3_UP_LEFT_neighbor,wG3_LEFT_neighbor,wG3_DOWN_LEFT_neighbor,wG3_DOWN_RIGHT_neighbor,wG3_BELOW_neighbor,wG3_ABOVE_neighbor,wA3_RIGHT_neighbor,wA3_UP_RIGHT_neighbor,wA3_UP_LEFT_neighbor,wA3_LEFT_neighbor,wA3_DOWN_LEFT_neighbor,wA3_DOWN_RIGHT_neighbor,wA3_BELOW_neighbor,wA3_ABOVE_neighbor,bQ_RIGHT_neighbor,bQ_UP_RIGHT_neighbor,bQ_UP_LEFT_neighbor,bQ_LEFT_neighbor,bQ_DOWN_LEFT_neighbor,bQ_DOWN_RIGHT_neighbor,bQ_BELOW_neighbor,bQ_ABOVE_neighbor,bS1_RIGHT_neighbor,bS1_UP_RIGHT_neighbor,bS1_UP_LEFT_neighbor,bS1_LEFT_neighbor,bS1_DOWN_LEFT_neighbor,bS1_DOWN_RIGHT_neighbor,bS1_BELOW_neighbor,bS1_ABOVE_neighbor,bB1_RIGHT_neighbor,bB1_UP_RIGHT_neighbor,bB1_UP_LEFT_neighbor,bB1_LEFT_neighbor,bB1_DOWN_LEFT_neighbor,bB1_DOWN_RIGHT_neighbor,bB1_BELOW_neighbor,bB1_ABOVE_neighbor,bG1_RIGHT_neighbor,bG1_UP_RIGHT_neighbor,bG1_UP_LEFT_neighbor,bG1_LEFT_neighbor,bG1_DOWN_LEFT_neighbor,bG1_DOWN_RIGHT_neighbor,bG1_BELOW_neighbor,bG1_ABOVE_neighbor,bA1_RIGHT_neighbor,bA1_UP_RIGHT_neighbor,bA1_UP_LEFT_neighbor,bA1_LEFT_neighbor,bA1_DOWN_LEFT_neighbor,bA1_DOWN_RIGHT_neighbor,bA1_BELOW_neighbor,bA1_ABOVE_neighbor,bS2_RIGHT_neighbor,bS2_UP_RIGHT_neighbor,bS2_UP_LEFT_neighbor,bS2_LEFT_neighbor,bS2_DOWN_LEFT_neighbor,bS2_DOWN_RIGHT_neighbor,bS2_BELOW_neighbor,bS2_ABOVE_neighbor,bB2_RIGHT_neighbor,bB2_UP_RIGHT_neighbor,bB2_UP_LEFT_neighbor,bB2_LEFT_neighbor,bB2_DOWN_LEFT_neighbor,bB2_DOWN_RIGHT_neighbor,bB2_BELOW_neighbor,bB2_ABOVE_neighbor,bG2_RIGHT_neighbor,bG2_UP_RIGHT_neighbor,bG2_UP_LEFT_neighbor,bG2_LEFT_neighbor,bG2_DOWN_LEFT_neighbor,bG2_DOWN_RIGHT_neighbor,bG2_BELOW_neighbor,bG2_ABOVE_neighbor,bA2_RIGHT_neighbor,bA2_UP_RIGHT_neighbor,bA2_UP_LEFT_neighbor,bA2_LEFT_neighbor,bA2_DOWN_LEFT_neighbor,bA2_DOWN_RIGHT_neighbor,bA2_BELOW_neighbor,bA2_ABOVE_neighbor,bG3_RIGHT_neighbor,bG3_UP_RIGHT_neighbor,bG3_UP_LEFT_neighbor,bG3_LEFT_neighbor,bG3_DOWN_LEFT_neighbor,bG3_DOWN_RIGHT_neighbor,bG3_BELOW_neighbor,bG3_ABOVE_neighbor,bA3_RIGHT_neighbor,bA3_UP_RIGHT_neighbor,bA3_UP_LEFT_neighbor,bA3_LEFT_neighbor,bA3_DOWN_LEFT_neighbor,bA3_DOWN_RIGHT_neighbor,bA3_BELOW_neighbor,bA3_ABOVE_neighbor,result
1,White,Black,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,wS1,wS1,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,White
2,Black,White,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,wS1,wS1,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,wS1,None,None,wS1,None,bA1,bA1,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,White
3,White,Black,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,None,None,None,None,None,None,None,None,None,wG1,None,None,wG1,None,wS1,wS1,None,None,None,None,None,None,None,None,None,None,None,None,None,None,wG1,wG1,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,wS1,None,None,wS1,None,bA1,bA1,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,White
4,Black,White,0,3,0,1,0,0,0,0,0,0,0,0,0,3,0,12,0,0,0,0,0,0,None,None,None,None,None,None,None,None,None,wG1,None,None,wG1,None,wS1,wS1,None,None,None,None,None,None,None,None,None,None,None,None,None,None,wG1,wG1,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,bA1,None,None,bA1,None,bB1,bB1,None,None,None,None,None,None,None,None,None,wS1,None,None,wS1,None,bA1,bA1,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,White
5,White,Black,2,4,0,2,0,0,0,0,0,0,0,0,0,3,0,14,0,0,0,0,0,0,None,None,None,None,None,None,wQ,wQ,None,wG1,None,None,wG1,None,wS1,wS1,None,None,None,None,None,None,None,None,wQ,None,None,wQ,None,None,wG1,wG1,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,bA1,None,None,bA1,None,bB1,bB1,None,None,None,None,None,None,None,None,None,wS1,None,None,wS1,None,bA1,bA1,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,White
6,Black,White,2,4,0,2,0,0,0,0,0,0,0,0,0,4,1,16,0,0,0,0,0,0,None,None,None,None,None,None,wQ,wQ,None,wG1,None,None,wG1,None,wS1,wS1,None,None,None,None,None,None,None,None,wQ,None,None,wQ,None,None,wG1,wG1,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,bA1,None,None,bA1,None,bB1,bB1,bB1,None,None,bB1,None,None,bG1,bG1,None,wS1,None,None,wS1,None,bA1,bA1,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,White
7,White,Black,2,4,3,2,0,0,0,0,0,0,0,0,0,4,1,18,0,0,0,0,0,0,None,wB1,None,None,wB1,None,wQ,wQ,None,wG1,None,None,wG1,None,wS1,wS1,None,None,None,None,None,None,wB1,wB1,wQ,None,None,wQ,None,None,wG1,wG1,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,bA1,None,None,bA1,None,bB1,bB1,bB1,None,None,bB1,None,None,bG1,bG1,None,wS1,None,None,wS1,None,bA1,bA1,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,White
8,Black,White,2,4,3,2,0,0,0,0,0,0,0,2,0,4,2,20,0,0,0,0,0,0,None,wB1,None,None,wB1,None,wQ,wQ,None,wG1,None,None,wG1,None,wS1,wS1,None,None,None,None,None,None,wB1,wB1,wQ,None,None,wQ,None,None,wG1,wG1,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,bQ,bQ,None,None,None,None,None,None,None,None,None,bA1,None,None,bA1,None,bB1,bB1,bB1,None,bQ,bB1,None,bQ,bG1,bG1,None,wS1,None,None,wS1,None,bA1,bA1,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,White
9,White,Black,2,4,3,3,0,0,3,0,0,0,0,2,0,4,2,22,0,0,0,0,0,0,None,wB1,None,None,wB1,None,wQ,wQ,None,wG1,None,None,wG1,None,wS1,wS1,None,None,None,None,None,None,wB1,wB1,wQ,None,wB2,wQ,None,wB2,wG1,wG1,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,wB2,wB2,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,bQ,bQ,None,None,None,None,None,None,None,None,None,bA1,None,None,bA1,None,bB1,bB1,bB1,None,bQ,bB1,None,bQ,bG1,bG1,None,wS1,None,None,wS1,None,bA1,bA1,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,White
10,Black,White,2,4,3,3,0,0,3,0,0,0,0,2,0,4,2,24,0,0,0,21,0,0,None,wB1,None,None,wB1,None,wQ,wQ,None,wG1,None,None,wG1,None,wS1,wS1,None,None,None,None,None,None,wB1,wB1,wQ,None,wB2,wQ,None,wB2,wG1,wG1,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,wB2,wB2,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,bQ,bQ,None,None,None,None,None,None,None,None,None,bA1,None,None,bA1,None,bB1,bB1,bB1,None,bQ,bB1,None,bQ,bG1,bG1,None,wS1,None,None,wS1,None,bA1,bA1,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,bQ,None,None,bQ,None,None,bA2,bA2,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,White
11,White,Black,2,2,3,4,23,0,3,0,0,0,0,2,0,4,2,24,0,0,0,21,0,0,None,wB1,None,None,wB1,None,wQ,wQ,wA1,wG1,None,wA1,wG1,None,wS1,wS1,None,None,None,None,None,None,wB1,wB1,wQ,None,wB2,wQ,None,wB2,wG1,wG1,None,wQ,wG1,None,wQ,wG1,wA1,wA1,None,None,None,None,None,None,None,None,None,None,None,None,None,None,wB2,wB2,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,bQ,bQ,None,None,None,None,None,None,None,None,None,bA1,None,None,bA1,None,bB1,bB1,bB1,None,bQ,bB1,None,bQ,bG1,bG1,None,wS1,None,None,wS1,None,bA1,bA1,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,bQ,None,None,bQ,None,None,bA2,bA2,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,White
12,Black,White,2,2,3,4,22,0,3,0,0,0,0,2,0,5,3,23,0,6,0,20,0,0,None,wB1,None,None,wB1,None,wQ,wQ,wA1,wG1,None,wA1,wG1,None,wS1,wS1,None,None,None,None,None,None,wB1,wB1,wQ,None,wB2,wQ,None,wB2,wG1,wG1,None,wQ,wG1,None,wQ,wG1,wA1,wA1,None,None,None,None,None,None,None,None,None,None,None,None,None,None,wB2,wB2,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,bB2,None,None,bB2,None,None,bQ,bQ,None,None,None,None,None,None,None,None,None,bA1,bB2,None,bA1,bB2,bB1,bB1,bB1,bB2,bQ,bB1,bB2,bQ,bG1,bG1,None,wS1,None,None,wS1,None,bA1,bA1,None,None,None,None,None,None,None,None,bA1,None,None,bA1,None,None,bB2,bB2,None,None,None,None,None,None,None,None,bQ,None,None,bQ,None,None,bA2,bA2,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,White
13,White,Black,0,2,4,4,23,0,3,2,0,0,0,2,0,5,3,24,0,6,0,21,0,0,wG2,wB1,None,wG2,wB1,None,wQ,wQ,wA1,wG1,None,wA1,wG1,None,wS1,wS1,None,None,None,None,None,None,wB1,wB1,wQ,None,wB2,wQ,None,wB2,wG1,wG1,None,wQ,wG1,None,wQ,wG1,wA1,wA1,None,None,None,None,None,None,None,None,None,None,None,None,None,None,wB2,wB2,None,None,wB1,None,None,wB1,wG2,wG2,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,bB2,None,None,bB2,None,None,bQ,bQ,None,None,None,None,None,None,None,None,None,bA1,bB2,None,bA1,bB2,bB1,bB1,bB1,bB2,bQ,bB1,bB2,bQ,bG1,bG1,None,wS1,None,None,wS1,None,bA1,bA1,None,None,None,None,None,None,None,None,bA1,None,None,bA1,None,None,bB2,bB2,None,None,None,None,None,None,None,None,bQ,None,None,bQ,None,None,bA2,bA2,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,White
14,Black,White,0,2,4,4,25,0,3,2,0,0,0,2,0,5,4,26,0,6,1,23,0,0,wG2,wB1,None,wG2,wB1,None,wQ,wQ,wA1,wG1,None,wA1,wG1,None,wS1,wS1,None,None,None,None,None,None,wB1,wB1,wQ,None,wB2,wQ,None,wB2,wG1,wG1,None,wQ,wG1,None,wQ,wG1,wA1,wA1,None,None,None,None,None,None,None,None,None,None,None,None,None,None,wB2,wB2,None,None,wB1,None,None,wB1,wG2,wG2,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,bB2,None,None,bB2,None,None,bQ,bQ,None,None,None,None,None,None,None,None,None,bA1,bB2,None,bA1,bB2,bB1,bB1,bB1,bB2,bQ,bB1,bB2,bQ,bG1,bG1,None,wS1,None,None,wS1,None,bA1,bA1,None,None,None,None,None,None,None,None,bA1,None,None,bA1,None,None,bB2,bB2,None,bG1,None,None,bG1,None,bG2,bG2,bQ,None,None,bQ,None,None,bA2,bA2,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,White
15,White,Black,2,4,4,3,25,0,3,2,0,0,0,2,0,5,4,28,0,6,1,28,0,0,wG2,wB1,None,wG2,wB1,None,wQ,wQ,None,wG1,None,None,wG1,None,wS1,wS1,None,None,None,None,None,None,wB1,wB1,wQ,None,wB2,wQ,None,wB2,wG1,wG1,bA2,None,None,bA2,None,None,wA1,wA1,None,None,None,None,None,None,None,None,None,None,None,None,None,None,wB2,wB2,None,None,wB1,None,None,wB1,wG2,wG2,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,bB2,None,None,bB2,None,None,bQ,bQ,None,None,None,None,None,None,None,None,None,bA1,bB2,None,bA1,bB2,bB1,bB1,bB1,bB2,bQ,bB1,bB2,bQ,bG1,bG1,None,wS1,None,None,wS1,None,bA1,bA1,None,None,None,None,None,None,None,None,bA1,None,None,bA1,None,None,bB2,bB2,None,bG1,None,None,bG1,None,bG2,bG2,bQ,None,None,bQ,None,None,bA2,bA2,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,White
16,Black,White,2,4,4,3,27,0,3,2,0,0,0,2,2,5,4,30,0,6,2,30,0,0,wG2,wB1,None,wG2,wB1,None,wQ,wQ,None,wG1,None,None,wG1,None,wS1,wS1,None,None,None,None,None,None,wB1,wB1,wQ,None,wB2,wQ,None,wB2,wG1,wG1,bA2,None,None,bA2,None,None,wA1,wA1,None,None,None,None,None,None,None,None,None,None,None,None,None,None,wB2,wB2,None,None,wB1,None,None,wB1,wG2,wG2,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,bB2,None,None,bB2,None,None,bQ,bQ,None,None,bG2,None,None,bG2,bS1,bS1,None,bA1,bB2,None,bA1,bB2,bB1,bB1,bB1,bB2,bQ,bB1,bB2,bQ,bG1,bG1,None,wS1,None,None,wS1,None,bA1,bA1,None,None,None,None,None,None,None,None,bA1,None,None,bA1,None,None,bB2,bB2,None,bG1,None,None,bG1,None,bG2,bG2,bQ,None,None,bQ,None,None,bA2,bA2,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,White
17,White,Black,2,4,4,3,27,0,3,2,0,0,0,2,2,5,4,28,0,6,2,25,0,0,wG2,wB1,None,wG2,wB1,None,wQ,wQ,None,wG1,None,None,wG1,None,wS1,wS1,None,None,None,None,None,None,wB1,wB1,wQ,None,wB2,wQ,None,wB2,wG1,wG1,None,None,None,None,None,None,wA1,wA1,None,None,None,None,None,None,None,None,None,None,None,None,None,None,wB2,wB2,None,None,wB1,None,None,wB1,wG2,wG2,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,bB2,None,None,bB2,None,None,bQ,bQ,wA1,None,bG2,wA1,None,bG2,bS1,bS1,None,bA1,bB2,None,bA1,bB2,bB1,bB1,bB1,bB2,bQ,bB1,bB2,bQ,bG1,bG1,None,wS1,None,None,wS1,None,bA1,bA1,None,None,None,None,None,None,None,None,bA1,None,None,bA1,None,None,bB2,bB2,None,bG1,None,None,bG1,None,bG2,bG2,bQ,None,None,bQ,None,None,bA2,bA2,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,White
18,Black,White,2,2,4,3,27,0,3,2,0,0,0,2,2,4,3,28,0,4,2,25,0,0,wG2,wB1,None,wG2,wB1,None,wQ,wQ,None,wG1,None,None,wG1,None,wS1,wS1,None,None,None,None,None,None,wB1,wB1,wQ,None,wB2,wQ,None,wB2,wG1,wG1,None,None,None,None,None,None,wA1,wA1,None,None,None,None,None,None,None,None,None,None,None,None,None,None,wB2,wB2,None,None,wB1,None,None,wB1,wG2,wG2,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,bQ,bQ,wA1,None,bG2,wA1,None,bG2,bS1,bS1,None,bA1,None,None,bA1,None,bB1,bB1,bB1,None,bQ,bB1,None,bQ,bG1,bG1,None,wS1,bB2,None,wS1,bB2,bA1,bA1,None,None,None,None,None,None,None,None,wS1,None,None,wS1,None,None,bB2,bB2,None,bG1,None,None,bG1,None,bG2,bG2,bQ,None,None,bQ,None,None,bA2,bA2,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,White
19,White,Black,2,2,4,3,29,2,6,2,0,0,0,2,2,4,3,30,0,4,2,27,0,0,wG2,wB1,None,wG2,wB1,None,wQ,wQ,None,wG1,None,None,wG1,None,wS1,wS1,None,None,None,None,None,None,wB1,wB1,wQ,None,wB2,wQ,None,wB2,wG1,wG1,None,None,None,None,None,None,wA1,wA1,None,None,None,None,None,None,wS2,wS2,None,None,wS2,None,None,wS2,wB2,wB2,None,None,wB1,None,None,wB1,wG2,wG2,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,bQ,bQ,wA1,None,bG2,wA1,None,bG2,bS1,bS1,None,bA1,None,None,bA1,None,bB1,bB1,bB1,None,bQ,bB1,None,bQ,bG1,bG1,None,wS1,bB2,None,wS1,bB2,bA1,bA1,None,None,None,None,None,None,None,None,wS1,None,None,wS1,None,None,bB2,bB2,None,bG1,None,None,bG1,None,bG2,bG2,bQ,None,None,bQ,None,None,bA2,bA2,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,White
20,Black,White,2,2,4,3,30,2,6,2,0,0,0,2,2,5,3,0,0,4,2,28,2,0,wG2,wB1,None,wG2,wB1,None,wQ,wQ,None,wG1,None,None,wG1,None,wS1,wS1,None,None,None,None,None,None,wB1,wB1,wQ,None,wB2,wQ,None,wB2,wG1,wG1,None,None,None,None,None,None,wA1,wA1,None,None,None,None,None,None,wS2,wS2,None,None,wS2,None,None,wS2,wB2,wB2,None,None,wB1,None,None,wB1,wG2,wG2,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,bQ,bQ,wA1,None,bG2,wA1,None,bG2,bS1,bS1,bG3,bA1,None,bG3,bA1,None,bB1,bB1,bB1,None,bQ,bB1,None,bQ,bG1,bG1,None,wS1,bB2,None,wS1,bB2,bA1,bA1,None,None,None,None,None,None,None,None,wS1,None,None,wS1,None,None,bB2,bB2,None,bG1,None,None,bG1,None,bG2,bG2,bQ,None,None,bQ,None,None,bA2,bA2,None,None,bA1,None,None,bA1,bG3,bG3,None,None,None,None,None,None,None,None,White
21,White,Black,2,2,4,4,30,2,5,2,0,0,0,2,2,5,3,0,0,5,2,27,2,0,wG2,wB1,None,wG2,wB1,None,wQ,wQ,None,wG1,wA1,None,wG1,wA1,wS1,wS1,None,None,None,None,None,None,wB1,wB1,wQ,None,wB2,wQ,None,wB2,wG1,wG1,wG1,wB2,None,wG1,wB2,None,wA1,wA1,None,None,None,None,None,None,wS2,wS2,None,None,wS2,None,None,wS2,wB2,wB2,None,None,wB1,None,None,wB1,wG2,wG2,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,bQ,bQ,None,None,bG2,None,None,bG2,bS1,bS1,bG3,bA1,None,bG3,bA1,None,bB1,bB1,bB1,None,bQ,bB1,None,bQ,bG1,bG1,None,wS1,bB2,None,wS1,bB2,bA1,bA1,None,None,None,None,None,None,None,None,wS1,wA1,None,wS1,wA1,None,bB2,bB2,None,bG1,None,None,bG1,None,bG2,bG2,bQ,None,None,bQ,None,None,bA2,bA2,None,None,bA1,None,None,bA1,bG3,bG3,None,None,None,None,None,None,None,None,White
22,Black,White,2,2,4,4,30,2,5,2,0,0,0,2,2,5,3,0,0,5,2,27,2,29,wG2,wB1,None,wG2,wB1,None,wQ,wQ,None,wG1,wA1,None,wG1,wA1,wS1,wS1,None,None,None,None,None,None,wB1,wB1,wQ,None,wB2,wQ,None,wB2,wG1,wG1,wG1,wB2,None,wG1,wB2,None,wA1,wA1,None,None,None,None,None,None,wS2,wS2,None,None,wS2,None,None,wS2,wB2,wB2,None,None,wB1,None,None,wB1,wG2,wG2,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,bQ,bQ,bA3,None,bG2,bA3,None,bG2,bS1,bS1,bG3,bA1,None,bG3,bA1,None,bB1,bB1,bB1,None,bQ,bB1,None,bQ,bG1,bG1,None,wS1,bB2,None,wS1,bB2,bA1,bA1,None,None,None,None,None,None,None,None,wS1,wA1,None,wS1,wA1,None,bB2,bB2,None,bG1,None,None,bG1,None,bG2,bG2,bQ,None,None,bQ,None,None,bA2,bA2,None,None,bA1,None,None,bA1,bG3,bG3,None,None,None,None,None,None,bA3,bA3,White
